t,current_joint_0,current_joint_1,current_joint_2,current_joint_3,current_joint_4,current_joint_5,nominal_err_0,nominal_err_1,nominal_err_2,nominal_err_3,nominal_err_4,nominal_err_5,rpy_err_0,rpy_err_1,rpy_err_2,setpoints_0,setpoints_1,setpoints_2,setpoints_3,setpoints_4,setpoints_5,vehicle_rpy_0,vehicle_rpy_1,vehicle_rpy_2,vehicle_xyz_0,vehicle_xyz_1,vehicle_xyz_2,xyz_err_0,xyz_err_1,xyz_err_2,zeta_0,zeta_1,zeta_2,zeta_3,zeta_4,zeta_5,zeta_6,zeta_7,zeta_8,zeta_9,zeta_10,zeta_11
1770737973.792170,0.518477,0.565189,0.426510,-0.549779,-0.109971,-0.234853,-0.000114,0.000298,-0.002394,0.000000,0.000015,-0.000767,0.086344,0.009984,0.004031,-0.164504,0.156146,0.037785,0.035386,0.085472,-0.650312,-0.086344,-0.009984,0.495969,0.006630,0.006880,1.999051,-0.006630,-0.006880,0.000949,-0.018182,-0.005862,0.000626,0.000080,0.009242,0.008884,-0.000114,0.000297,-0.002392,0.000000,0.000015,-0.000766
1770738003.892194,0.565379,0.659544,-0.012928,-0.455531,-0.596646,-0.359903,0.000108,0.000190,-0.002780,0.000000,-0.000256,-0.001380,0.091931,0.001073,0.003024,-0.164778,0.164850,-0.010483,0.009272,0.080369,-0.649768,-0.091931,-0.001073,0.496976,0.005428,0.006829,1.999147,-0.005428,-0.006829,0.000853,-0.016037,-0.006875,0.000239,0.000006,0.000513,0.006116,0.000108,0.000190,-0.002777,0.000000,-0.000256,-0.001379
1770738033.892206,0.628269,0.141307,0.205786,-0.376991,-0.942348,-0.376802,0.000049,0.000065,-0.001582,0.000000,-0.000130,-0.000189,0.103975,-0.000032,0.004127,-0.173520,0.174332,-0.028569,0.023096,0.066294,-0.648054,-0.103975,0.000032,0.495873,0.001239,0.007384,1.996264,-0.001239,-0.007384,0.003736,-0.009197,-0.012123,0.002487,-0.000000,-0.000887,0.008198,0.000049,0.000065,-0.001581,0.000000,-0.000130,-0.000188
1770738098.192201,0.345567,-0.219872,-0.613334,0.282743,-0.518405,-0.329403,0.000008,-0.000040,0.000723,0.000000,0.000042,-0.000464,0.039523,-0.009995,-0.003615,-0.102608,0.117353,-0.027973,-0.049604,-0.235944,-0.600993,-0.039523,0.009995,0.503615,0.003991,-0.008506,2.001437,-0.003991,0.008506,-0.001437,0.001231,0.018775,-0.000682,0.000072,-0.009692,-0.007612,0.000008,-0.000040,0.000723,0.000000,0.000042,-0.000463
1770738128.192219,0.502628,-0.314270,0.189704,-0.424115,-0.518284,-0.235057,0.000027,0.000111,-0.001208,-0.000000,-0.000078,-0.000563,0.075497,0.006120,0.009157,-0.150003,0.141972,-0.008251,0.049123,-0.209022,-0.610374,-0.075497,-0.006120,0.490843,-0.009503,0.003850,1.997865,0.009503,-0.003850,0.002135,0.013133,-0.015844,0.000860,0.000112,0.004716,0.018705,0.000027,0.000111,-0.001207,-0.000000,-0.000078,-0.000562
1770738196.092241,-0.329859,-0.753902,-0.441079,0.125664,-0.486952,0.267226,-0.000008,-0.000080,0.001256,0.000000,0.000005,-0.000191,0.028409,-0.009990,-0.002146,-0.085744,0.102209,-0.028676,-0.047664,-0.341724,-0.548080,-0.028409,0.009990,0.502146,0.000182,-0.006115,2.000480,-0.000182,0.006115,-0.000480,0.005566,0.010893,-0.000114,0.000043,-0.009854,-0.004569,-0.000008,-0.000080,0.001255,0.000000,0.000005,-0.000191
1770738247.792207,0.675440,0.094269,-0.612471,-0.125664,-1.115263,0.361338,0.000003,-0.000021,-0.000140,-0.000000,-0.000002,-0.000055,0.081275,0.009982,0.005438,-0.151724,0.139832,-0.037195,0.069648,-0.273149,-0.584265,-0.081275,-0.009982,0.494562,-0.007697,0.007167,1.997743,0.007697,-0.007167,0.002257,0.006761,-0.020015,0.000564,0.000108,0.009057,0.011638,0.000003,-0.000021,-0.000140,-0.000000,-0.000002,-0.000055
1770738292.992168,-0.455521,-0.486991,0.534465,-0.204204,-0.031417,-0.408402,-0.000010,0.000044,-0.000395,-0.000000,0.000001,-0.000005,0.010645,0.009991,-0.005535,-0.084572,0.062823,0.067527,-0.036798,-0.188151,-0.618346,-0.010645,-0.009991,0.505535,0.008133,-0.011832,2.000259,-0.008133,0.011832,-0.000259,-0.002772,0.028553,0.000073,-0.000110,0.010099,-0.010951,-0.000010,0.000044,-0.000394,-0.000000,0.000001,-0.000005
1770738322.992270,-0.549766,0.314188,-0.581420,-0.376991,-0.141387,0.470834,-0.000013,-0.000029,0.000225,-0.000000,0.000015,0.000405,0.012937,-0.000308,-0.000025,-0.078772,0.081634,0.051395,-0.055681,-0.193340,-0.615909,-0.012937,0.000308,0.500025,0.007526,-0.003322,2.003151,-0.007526,0.003322,-0.003151,-0.010013,0.013074,-0.002982,0.000000,-0.000307,-0.000054,-0.000013,-0.000028,0.000225,-0.000000,0.000015,0.000405
1770738389.092228,0.094166,0.361083,0.190148,0.314159,-0.062848,0.487041,0.000082,0.000200,-0.001653,0.000000,0.000016,-0.000094,0.052435,0.009992,0.003230,-0.138353,0.126773,0.058319,-0.018205,0.160245,-0.665221,-0.052435,-0.009992,0.496770,0.000227,0.005759,1.999396,-0.000227,-0.005759,0.000604,-0.005877,-0.009920,0.000143,0.000064,0.009630,0.006968,0.000082,0.000200,-0.001651,0.000000,0.000016,-0.000094
