t,current_joint_0,current_joint_1,current_joint_2,current_joint_3,current_joint_4,current_joint_5,nominal_err_0,nominal_err_1,nominal_err_2,nominal_err_3,nominal_err_4,nominal_err_5,rpy_err_0,rpy_err_1,rpy_err_2,setpoints_0,setpoints_1,setpoints_2,setpoints_3,setpoints_4,setpoints_5,vehicle_rpy_0,vehicle_rpy_1,vehicle_rpy_2,vehicle_xyz_0,vehicle_xyz_1,vehicle_xyz_2,wrench_sensor_0,wrench_sensor_1,wrench_sensor_2,wrench_sensor_3,wrench_sensor_4,wrench_sensor_5,xyz_err_0,xyz_err_1,xyz_err_2,zeta_0,zeta_1,zeta_2,zeta_3,zeta_4,zeta_5,zeta_6,zeta_7,zeta_8,zeta_9,zeta_10,zeta_11
1770912911.833679,0.518477,0.565189,0.426510,-0.549779,-0.109971,-0.234853,-0.000114,0.000298,-0.002395,-0.000000,0.000015,-0.000767,0.086324,0.009996,0.004040,-0.163683,0.157028,0.033142,0.032185,0.086096,-0.650513,-0.086324,-0.009996,0.495960,0.015906,0.015046,1.998566,17.313099,-14.754579,10.297133,0.507212,0.046737,-0.803059,-0.015906,-0.015046,0.001434,-0.042240,-0.011434,0.000873,0.000081,0.009253,0.008903,-0.000114,0.000297,-0.002392,-0.000000,0.000015,-0.000766
1770912941.933690,0.565379,0.659544,-0.012928,-0.455531,-0.596646,-0.359903,0.000108,0.000190,-0.002780,0.000000,-0.000256,-0.001380,0.091920,0.001073,0.003104,-0.164451,0.165212,-0.015675,-0.002317,0.080986,-0.649834,-0.091920,-0.001073,0.496896,0.010099,0.011027,1.998949,19.801486,-13.436223,7.352871,0.462646,0.291950,-0.743158,-0.010099,-0.011027,0.001051,-0.028239,-0.009807,0.000180,0.000007,0.000498,0.006273,0.000108,0.000190,-0.002777,0.000000,-0.000256,-0.001379
1770912972.033652,0.628269,0.141307,0.205786,-0.376991,-0.942348,-0.376802,0.000049,0.000065,-0.001582,0.000000,-0.000130,-0.000189,0.103969,-0.000035,0.004156,-0.173283,0.174569,-0.029999,0.021276,0.066457,-0.648097,-0.103969,0.000035,0.495844,0.003690,0.009525,1.996049,22.388011,-10.866960,5.359793,0.365488,0.470795,-0.597091,-0.003690,-0.009525,0.003951,-0.015540,-0.013570,0.002552,-0.000000,-0.000896,0.008255,0.000049,0.000065,-0.001581,0.000000,-0.000130,-0.000188
1770913036.333668,0.345567,-0.219872,-0.613334,0.282743,-0.518405,-0.329403,0.000008,-0.000040,0.000723,0.000000,0.000042,-0.000464,0.039521,-0.009992,-0.003621,-0.102532,0.117450,-0.028480,-0.049701,-0.235942,-0.600998,-0.039521,0.009992,0.503621,0.004539,-0.007972,2.001394,-7.985146,-1.907810,24.269103,0.054561,-1.589353,-0.096035,-0.004539,0.007972,-0.001394,-0.000242,0.018367,-0.000670,0.000072,-0.009689,-0.007623,0.000008,-0.000040,0.000723,0.000000,0.000042,-0.000463
1770913066.433659,0.502628,-0.314270,0.189704,-0.424115,-0.518284,-0.235057,0.000027,0.000111,-0.001208,-0.000000,-0.000078,-0.000563,0.075497,0.006110,0.009102,-0.149963,0.142015,-0.009197,0.049044,-0.208953,-0.610396,-0.075497,-0.006110,0.490898,-0.009192,0.004107,1.997870,11.914713,-0.461108,22.570099,0.022917,-0.830683,-0.043890,0.009192,-0.004107,0.002130,0.012341,-0.016005,0.000848,0.000111,0.004715,0.018595,0.000027,0.000111,-0.001207,-0.000000,-0.000078,-0.000562
1770913134.333692,-0.329859,-0.753902,-0.441079,0.125664,-0.486952,0.267226,-0.000008,-0.000080,0.001256,0.000000,0.000005,-0.000191,0.028409,-0.009990,-0.002143,-0.085734,0.102224,-0.028727,-0.047682,-0.341721,-0.548082,-0.028409,0.009990,0.502143,0.000245,-0.006061,2.000475,-15.309850,-6.746381,19.484865,0.220674,-1.568073,-0.372516,-0.000245,0.006061,-0.000475,0.005404,0.010857,-0.000113,0.000043,-0.009855,-0.004563,-0.000008,-0.000080,0.001255,0.000000,0.000005,-0.000191
1770913186.033635,0.675440,0.094269,-0.612471,-0.125664,-1.115263,0.361338,0.000003,-0.000021,-0.000140,-0.000000,-0.000002,-0.000055,0.081276,0.009983,0.005439,-0.151725,0.139833,-0.037200,0.069652,-0.273152,-0.584262,-0.081276,-0.009983,0.494561,-0.007675,0.007175,1.997743,13.388236,7.709596,19.617742,-0.260136,-0.609709,0.437328,0.007675,-0.007175,0.002257,0.006715,-0.020009,0.000565,0.000108,0.009058,0.011640,0.000003,-0.000021,-0.000140,-0.000000,-0.000002,-0.000055
1770913231.233679,-0.455521,-0.486991,0.534466,-0.204204,-0.031417,-0.408402,-0.000010,0.000044,-0.000395,-0.000000,0.000001,-0.000005,0.010645,0.009993,-0.005532,-0.084574,0.062821,0.067530,-0.036795,-0.188165,-0.618343,-0.010645,-0.009993,0.505532,0.008134,-0.011825,2.000257,2.060298,-0.689123,25.418616,0.026895,-1.317705,-0.044224,-0.008134,0.011825,-0.000257,-0.002780,0.028543,0.000075,-0.000110,0.010100,-0.010945,-0.000010,0.000044,-0.000394,-0.000000,0.000001,-0.000005
1770913261.333663,-0.549766,0.314188,-0.581420,-0.376991,-0.141387,0.470834,-0.000013,-0.000029,0.000225,-0.000000,0.000015,0.000405,0.012936,-0.000304,-0.000027,-0.078776,0.081629,0.051400,-0.055672,-0.193358,-0.615899,-0.012936,0.000304,0.500027,0.007507,-0.003315,2.003139,-3.488824,1.114743,25.166401,-0.040606,-1.499222,0.069182,-0.007507,0.003315,-0.003139,-0.009985,0.013043,-0.002970,0.000000,-0.000303,-0.000058,-0.000013,-0.000028,0.000225,-0.000000,0.000015,0.000405
1770913327.433651,0.094166,0.361083,0.190148,0.314159,-0.062848,0.487041,0.000082,0.000200,-0.001653,0.000000,0.000016,-0.000094,0.052435,0.009992,0.003230,-0.138353,0.126773,0.058320,-0.018200,0.160243,-0.665221,-0.052435,-0.009992,0.496770,0.000224,0.005758,1.999394,9.441763,11.438029,20.461879,-0.392997,-0.784611,0.623825,-0.000224,-0.005758,0.000606,-0.005871,-0.009922,0.000144,0.000064,0.009630,0.006968,0.000082,0.000200,-0.001651,0.000000,0.000016,-0.000094
